"Pathway1 KEGG","Pathway2 KEGG","Connecting reactions","Connection metabolites"
"map00040","map00053","R00264|R00286|R01381|R01476|R01481|R02637|R02639|R03244|R04515|R04784|R05850|R07125|R07127|R07676","C00433|C00006|C00001|C00026|C00005|C00080|C00029|C00003|C00167|C00004|C00075|C05385|C00013|C00002|C00191|C00008|C00800|C00618|C04575|C01101|C03291|C05411|C00011|C05412|C00231|C14899|C15930|C00333"
"map00040","map00040","R00264|R00286|R00289|R01381|R01383|R01429|R01430|R01431|R01432|R01476|R01478|R01481|R01482|R01524|R01525|R01526|R01529|R01540|R01542|R01639|R01758|R01759|R01761|R01782|R01785|R01892|R01895|R01896|R01898|R01901|R01902|R01903|R01904|R01905|R01906|R01982|R01983|R02360|R02361|R02362|R02427|R02429|R02439|R02441|R02454|R02555|R02637|R02639|R02640|R02921|R03244|R04382|R04383|R04515|R04784|R05604|R05606|R05831|R05850|R07125|R07127|R07134|R07143|R07144|R07413|R07676|R09186|R09477|R10532|R10550|R10563|R10565|R10848","C00433|C00006|C00001|C00026|C00005|C00080|C00029|C00003|C00167|C00004|C00075|C00103|C00013|C05385|C01335|C00015|C03033|C00181|C02266|C00379|C00310|C00002|C00191|C00008|C00069|C00800|C00905|C01068|C00199|C00309|C00231|C00817|C00204|C04349|C00532|C00259|C00508|C03826|C00022|C00266|C06441|C00111|C00474|C00125|C00126|C00476|C00312|C03291|C00618|C00011|C01508|C00470|C00333|C00558|C02273|C06118|C00714|C00132|C00502|C01101|C00514|C04575|C00063|C00789|C04053|C05411|C05412|C01904|C14899|C15930|C20680|C02426|C00116"
"map00040","map00030","R01529","C00199|C00231"
"map00040","map00052","R00289","C00075|C00103|C00013|C00029"
"map00040","map00520","R00286|R00289|R01381|R01476","C00029|C00001|C00003|C00167|C00004|C00080|C00075|C00103|C00013|C05385|C00002|C00191|C00008"
"map00040","map00500","R00286|R00289|R01383|R01478|R01982|R02362","C00029|C00001|C00003|C00167|C00004|C00080|C00075|C00103|C00013|C01335|C00015|C03033|C00191|C00069|C00470|C00333|C00714|C00132"
"map00040","map00740","",""
"map00040","map00030","R01529","C00199|C00231"
"map00040","map00561","",""
"map00040","map00020","",""
"map00051","map00052","",""
"map00051","map00010","R01015|R01070|R04779|R04780","C00118|C00111|C05378|C00002|C05345|C00008|C00001|C00009"
"map00051","map00051","R00865|R00866|R00867|R00868|R00870|R00872|R00875|R00877|R00878|R00879|R00880|R00881|R00883|R00885|R00887|R00888|R00890|R01015|R01059|R01070|R01326|R01332|R01787|R01818|R01819|R01951|R02071|R02073|R02167|R02261|R02262|R02263|R02437|R02438|R02568|R02630|R02677|R02703|R02704|R02730|R02731|R02732|R02925|R03014|R03129|R03161|R03163|R03232|R03234|R03241|R03396|R03397|R03398|R03399|R03576|R03688|R03706|R03772|R03774|R03942|R04076|R04779|R04780|R05607|R05692|R05768|R05790|R05816|R05820|R08926|R09030|R09031|R09666|R10689|R10690|R10691","C00392|C00125|C00095|C00126|C00080|C00002|C00008|C01094|C05345|C00003|C00004|C00006|C00005|C03267|C00001|C00009|C00794|C00159|C00267|C01355|C00096|C00976|C00144|C00636|C00035|C00044|C00013|C00464|C01222|C02492|C00118|C00111|C00577|C05378|C00275|C02985|C00325|C00644|C03979|C00424|C00022|C01099|C01131|C00507|C00861|C02431|C04261|C00615|C06192|C00020|C00665|C00016|C01352|C00247|C01768|C01019|C01721|C01096|C02888|C02977|C03117|C01487|C02962|C01720|C03827|C05392|C02991|C01934|C00197|C11516|C11544|C18028|C18096|C00258|C20781|C00186"
"map00051","map00520","R00880|R00883|R00885|R00888|R01326|R01818|R01819|R01951|R02630|R03161|R03396|R03397|R03398|R03399|R05692","C00096|C00001|C00003|C00976|C00004|C00080|C00035|C00636|C00009|C00044|C00013|C01222|C00002|C00159|C00008|C00275|C05345|C02985|C00325|C04261|C00615|C01019|C02977|C03117|C00006|C00005"
"map00051","map00510","",""
"map00051","map00620","",""
"map00051","map00520","R00880|R00883|R00885|R00888|R01326|R01818|R01819|R01951|R02630|R03161|R03396|R03397|R03398|R03399|R05692","C00096|C00001|C00003|C00976|C00004|C00080|C00035|C00636|C00009|C00044|C00013|C01222|C00002|C00159|C00008|C00275|C05345|C02985|C00325|C04261|C00615|C01019|C02977|C03117|C00006|C00005"
"map00051","map00010","R01015|R01070|R04779|R04780","C00118|C00111|C05378|C00002|C05345|C00008|C00001|C00009"
"map00052","map00010","R00959|R01786|R01788","C00103|C00668|C00002|C00267|C00008|C00001|C00009"
"map00052","map00051","",""
"map00052","map00040","R00289","C00075|C00103|C00013|C00029"
"map00052","map00030","",""
"map00052","map00052","R00289|R00291|R00502|R00503|R00505|R00506|R00801|R00955|R00959|R01064|R01069|R01092|R01093|R01094|R01095|R01096|R01097|R01098|R01101|R01103|R01104|R01105|R01192|R01194|R01329|R01678|R01786|R01788|R02410|R02411|R02926|R02927|R02928|R03033|R03034|R03236|R03237|R03238|R03239|R03240|R03256|R03387|R03418|R03634|R03635|R04393|R05168|R05549|R05570|R05571|R08365|R08366|R08367|R08544|R10604|R10616|R10619","C00075|C00103|C00013|C00029|C00052|C00446|C00031|C00015|C00243|C03733|C05796|C00089|C00001|C00095|C00668|C01286|C00022|C00118|C03785|C00111|C00002|C00984|C00008|C00124|C00004|C00080|C01697|C00003|C03383|C00005|C00006|C02669|C00007|C00880|C00027|C05402|C00492|C05401|C00116|C00137|C01235|C05400|C00159|C00267|C00009|C05399|C00794|C00795|C01097|C01216|C00063|C00112|C00081|C00104|C01113|C05396|C00221|C01613|C05404|C04261|C00615|C06376|C06377|C00033|C06311|C00014|C01132|C02262|C00577"
"map00052","map00520","R00289|R00291|R00502|R00955|R00959|R01092|R01786","C00075|C00103|C00013|C00029|C00052|C00446|C00668|C00002|C00984|C00008|C00267"
"map00053","map00053","R00068|R00095|R00264|R00286|R00640|R00643|R00645|R00646|R00647|R00889|R01108|R01184|R01381|R01476|R01481|R01483|R01757|R01784|R02278|R02279|R02522|R02526|R02637|R02639|R02752|R02754|R02933|R02957|R03183|R03184|R03185|R03186|R03244|R03277|R03733|R04515|R04784|R04785|R05608|R05850|R07125|R07127|R07671|R07672|R07673|R07674|R07675|R07676|R07677|R07678|R07679|R07680|R08056|R08615|R09540|R10841|R10846|R10847","C00007|C00072|C05422|C00001|C00003|C00004|C01041|C00080|C00433|C00006|C00026|C00005|C00029|C00167|C01115|C00125|C00126|C00027|C00028|C00030|C01620|C00209|C03289|C00096|C02280|C00051|C00127|C00137|C00191|C00075|C05385|C00013|C00002|C00008|C00800|C02670|C00259|C01114|C00684|C00022|C00266|C00679|C00011|C00545|C00618|C04575|C00818|C01146|C01040|C01101|C03291|C03921|C03064|C05411|C05412|C00879|C00231|C14899|C04261|C00615|C16186|C15925|C15926|C01825|C00009|C15930|C00333|C00035|C00015|C20889|C20896"
"map00053","map00051","",""
