"Reaction KEGG ID","Reactants","Products","Reversability","EC list","Occurences","Names"
"R00849","C00093|C15602","C00111|C15603","1","1.1.5.3","0","sn-glycerol 3-phosphate:quinone oxidoreductase"
"R00850","C00093|C00031","C00116|C00092","1","2.7.1.142","0","sn-Glycerol-3-phosphate:D-glucose 6-phosphotransferase"
"R00851","C00093|C00040","C00681|C00010","1","2.3.1.15","3","acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase"
"R00853","C00052|C00093","C00015|C04641","1","2.4.1.137","0","UDP-alpha-D-galactose:sn-glycerol-3-phosphate 2-alpha-D-galactosyltransferase"
"R00854","C00052|C00093","C00015|C04703","1","2.4.1.96","0","UDP-alpha-D-galactose:sn-glycerol-3-phosphate 1-alpha-D-galactosyltransferase"
"R00855","C00513|C00001","C00055|C00093","1","3.6.1.16","1","CDPglycerol phosphoglycerohydrolase"
"R00856","C00063|C00093","C00013|C00513","1","2.7.7.39","1","CTP:sn-glycerol-3-phosphate cytidylyltransferase"
"R00857","C03120|C00001","C00069|C00093","1","3.1.4.46","0","Glycerophosphodiester glycerophosphohydrolase"
"R00858","C00283|C00006|C00001","C00094|C00005|C00080","1","1.8.1.2","3","hydrogen-sulfide:NADP+ oxidoreductase"
"R00859","C00283|C00139|C00001","C00094|C00138|C00080","1","1.8.7.1","3","Hydrogen-sulfide:ferredoxin oxidoreductase"
"R00860","C00094|C00028|C00020","C00224|C00030","1","1.8.99.2","0","AMP,sulfite:acceptor oxidoreductase (adenosine-5'-phosphosulfate-forming)"
"R00861","C00283|C00028|C00001","C00094|C00030","1","1.8.99.1","3","hydrogen-sulfide:acceptor oxidoreductase"
"R00863","C00606","C00041|C09306","1","4.1.1.12","1","3-Sulfino-L-alanine 4-carboxy-lyase"
"R00864","C00094|C00087","C00320","1","","0",""
"R00865","C00392|C00125","C00095|C00126|C00080","1","1.1.2.2","1","D-Mannitol:ferricytochrome-c 2-oxidoreductase"
"R00866","C00002|C00095","C00008|C01094","1","2.7.1.3","3","ATP:D-fructose 1-phosphotransferase"
"R00867","C00002|C00095","C00008|C05345","1","2.7.1.1|2.7.1.4","2","ATP:D-fructose 6-phosphotransferase"
"R00868","C00392|C00003","C00095|C00004|C00080","1","1.1.1.11|1.1.1.67","1","D-Mannitol:NAD+ 2-oxidoreductase"
"R00870","C00392|C00006","C00095|C00005|C00080","1","1.1.1.138","1","D-Mannitol:NADP+ 2-oxidoreductase"
"R00871","C10906|C00006","C00273|C00005|C00080","1","1.1.1.124","0","D-Fructose:NADP+ 5-oxidoreductase"
"R00872","C03267|C00001","C00095|C00009","1","3.1.3.-","1","D-Fructose 2-phosphate phosphatase"
"R00873","C00095|C00028","C00273|C00030","1","1.1.99.11","0","D-fructose:acceptor 5-oxidoreductase"
"R00874","C00095|C00031","C00198|C00794","1","1.1.99.28","0","D-Glucose:D-fructose oxidoreductase"
"R00875","C00794|C00003","C00095|C00004|C00080","1","1.1.1.14|1.1.1.15","2","D-Glucitol:NAD+ 2-oxidoreductase"
"R00876","C00081|C00095","C00104|C00085","1","2.7.1.1","0","ITP:D-fructose 6-phosphotransferase"
"R00877","C00159","C00095","1","5.3.1.7","2","D-mannose aldose-ketose-isomerase"
"R00878","C00267","C00095","1","5.3.1.5","2","alpha-D-Glucose aldose-ketose-isomerase"
"R00879","C01355|C00001","C00095|C01355","1","3.2.1.80","1","beta-D-Fructan fructohydrolase"
"R00880","C00096|C00001|C00003","C00976|C00004|C00080","1","1.1.1.132","2","GDP-D-mannose:NAD+ 6-oxidoreductase"
"R00881","C00096|C00001","C00144|C00636","1","3.6.1.21|3.6.1.-","1","GDP-mannose mannophosphohydrolase"
"R00883","C00035|C00636","C00009|C00096","1","2.7.7.22","4","GDP:D-mannose-1-phosphate guanylyltransferase"
"R00885","C00044|C00636","C00013|C00096","1","2.7.7.13","4","GTP:alpha-D-mannose-1-phosphate guanylyltransferase"
"R00887","C00096|C00464","C00035|C00464","1","2.4.1.-","1",""
"R00888","C00096","C01222|C00001","1","4.2.1.47","3","GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)|GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)|GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)"
"R00889","C00096","C02280","1","5.1.3.18","4","GDP-mannose 3,5-epimerase"
"R00890","C00096|C02492","C00035|C02492","1","2.4.1.-","1","GDPmannose:mannan 1,4-beta-D-mannosyltransferase"
"R00891","C00065|C00283","C00097|C00001","1","4.2.1.22","1","L-serine hydro-lyase (adding hydrogen sulfide, L-cysteine-forming)"
"R00892","C00097|C00003","C00491|C00080|C00004","1","1.8.1.6","1","L-cysteine:NAD+ oxidoreductase|L-cysteine:NAD+ oxidoreductase|NADH:L-cystine oxidoreductase"
"R00893","C00097|C00007","C00606","1","1.13.11.20","3","L-Cysteine:oxygen oxidoreductase"
"R00894","C00002|C00025|C00097","C00008|C00009|C00669","1","6.3.2.2","2","L-glutamate:L-cysteine gamma-ligase (ADP-forming)"
"R00895","C00097|C00026","C00957|C00025","1","2.6.1.1|2.6.1.3","2","L-Cysteine:2-oxoglutarate aminotransferase"
"R00896","C00097|C00026","C00957|C00302","1","2.6.1.1","2","L-cysteine:2-oxoglutarate aminotransferase"
"R00897","C00979|C00283","C00097|C00033","1","2.5.1.47|2.5.1.65","6","O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase|O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase|O3-acetyl-L-serine acetate-lyase (adding hydrogen sulfide)"
"R00899","C01419|C00001","C00097|C00037","1","3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-","2","L-cysteinylglycine dipeptidase"
"R00900","C00097|C00051|C00006","C05526|C00005","1","1.8.1.9|1.8.1.10","1","L-cysteine,glutathione:NADP+ oxidoreductase (disulfide-forming)|L-cysteine,glutathione:NADP+ oxidoreductase (disulfide-forming)|NADPH:CoA-glutathione oxidoreductase"
"R00901","C00097|C00094","C00283|C00506","1","4.4.1.10","3","L-cysteine hydrogen-sulfide-lyase (adding sulfite L-cysteate-forming)"
"R00903","C00097","C00793","1","5.1.1.10","1","2-Amino-3-mercaptopropionic acid racemase|2-Amino-3-mercaptopropionic acid racemase|cysteine racemase"
"R00904","C05665|C00003|C00001","C00099|C00004|C00080","1","1.2.1.3|1.2.1.5|1.2.1.19","1","3-aminopropanal:NAD+ oxidoreductase"
"R00905","C02642|C00001","C00099|C00011|C00014","1","3.5.1.6","4","N-Carbamoyl-beta-alanine amidohydrolase"
"R00906","C02207|C00003|C00001","C00099|C00022|C00004|C00080","1","1.5.1.26","0","N-(D-1-carboxyethyl)-beta-alanine:NAD+ oxidoreductase (beta-alanine-forming)"
"R00907","C00041|C00222","C00022|C00099","1","2.6.1.18","3","L-Alanine:3-oxopropanoate aminotransferase"
"R00908","C00099|C00026","C00222|C00025","1","2.6.1.19|2.6.1.55","3","beta-alanine:2-oxoglutarate aminotransferase"
"R00909","C01073|C00001","C00033|C00099","1","3.5.1.21","1","N-Acetyl-beta-alanine amidohydrolase"
"R00910","C00002|C00047|C00099","C00008|C00009|C05341","1","6.3.2.11","1","L-lysine:beta-alanine ligase (ADP-forming)"
"R00911","C05341|C00001","C00099|C00047","1","3.4.13.4","1","beta-Alanyl-L-lysine hydrolase"
"R00912","C00002|C00062|C00099","C00008|C00009|C05340","1","6.3.2.11","1","L-arginine:beta-alanine ligase (ADP-forming)"
"R00913","C03065|C00001","C00099|C00086","1","3.5.3.17","0","3-Guanidinopropanoate amidinopropionase"
"R00914","C00099","C02335","1","2.8.3.-","1","beta-alanine CoA-transferase"
"R00915","C00099","C03722","1","","0",""
"R00916","C00099","C05669","1","","0",""
"R00917","C00099|C00014","C05670|C00001","1","","0","beta-aminopropionitrile aminohydrolase"
"R00918","C00100|C00683|C00005|C00080","C03240|C00010|C00011|C00001|C00006","1","2.3.1.94","2","propanoyl-CoA:(2S)-methylmalonyl-CoA malonyltransferase (cyclizing)|propanoyl-CoA:(2S)-methylmalonyl-CoA malonyltransferase (cyclizing)|propanoyl-CoA:(2S)-methylmalonyl-CoA 2-C-acyltransferase (decarboxylating, oxoacyl-reducing and cyclizing)"
"R00919","C00100|C00006","C00894|C00005|C00080","1","1.3.1.84","3","propanoyl-CoA:NADP+ 2-oxidoreductase|propanoyl-CoA:NADP+ 2-oxidoreductase|acrylyl-CoA reductase (NADPH)"
"R00920","C00002|C00163|C00010","C00008|C00009|C00100","1","6.2.1.13","1","Propanoate:CoA ligase (ADP-forming)"
"R00921","C00100|C00009","C02876|C00010","1","2.3.1.8|2.3.1.222","1","propanoyl-CoA:phosphate propanoyltransferase"
"R00922","C00349|C00010|C00003","C00100|C00011|C00004|C00080","1","1.2.1.27","0","2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating)"
"R00923","C00683","C00100|C00011","1","4.1.1.41","1","(S)-methylmalonyl-CoA carboxy-lyase (propanoyl-CoA-forming)"
"R00924","C00100|C00016","C01352|C00894","1","1.3.8.7","1","propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
"R00925","C00002|C00163|C00010","C00020|C00013|C00100","1","6.2.1.1|6.2.1.17","0","Propanoate:CoA ligase (AMP-forming)"
"R00926","C05983|C00010","C00020|C00100","1","6.2.1.1|6.2.1.17","2","Propionyladenylate:CoA propionyltransferase"
"R00927","C00100|C00024","C00010|C03344","1","2.3.1.9|2.3.1.16","3","acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase|acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase|2-methylacetoacetyl-CoA thiolase"
"R00928","C00024|C00163","C00033|C00100","1","2.8.3.1","2","Acetyl-CoA:propanoate CoA-transferase"
"R00930","C00683|C00022","C00100|C00036","1","2.1.3.1","1","(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase"
"R00931","C02225|C00010","C00100|C00036|C00001","1","2.3.3.5","1","propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)|propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)|2-methylcitrate oxaloacetate-lyase"
"R00932","C02630|C00010","C00100|C00001|C00048","1","2.3.3.11","1","propanoyl-CoA:glyoxylate C-propanoyltransferase (thioester-hydrolysing, 2-carboxyethyl-forming)|propanoyl-CoA:glyoxylate C-propanoyltransferase (thioester-hydrolysing, 2-carboxyethyl-forming)|2-hydroxyglutarate glyoxylate-lyase (CoA-propanoylating)"
"R00934","C00100|C00048","C06027","1","4.1.3.24","5","L-erythro-3-methylmalyl-CoA glyoxylate-lyase (propanoyl-CoA-forming)"
"R00935","C06002|C00010|C00003","C00100|C00011|C00004|C00080","1","1.2.1.27","3","(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating)"
"R00936","C00101|C00003","C00415|C00004|C00080","1","1.5.1.3","3","5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"
"R00937","C00101|C00003","C00504|C00004|C00080","1","1.5.1.3","3","5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"
