"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"7","map00061","R04967"
"7","map00061","R04968"
"7","map00061","R04969"
"7","map00061","R04970"
"7","map00061","R05188"
"7","map00061","R05190"
"7","map00061","R07639"
"7","map00061","R07762"
"7","map00061","R07763"
"7","map00061","R07764"
"7","map00061","R07765"
"7","map00061","R08157"
"7","map00061","R08158"
"7","map00061","R08159"
"7","map00061","R08161"
"7","map00061","R08162"
"7","map00061","R08163"
"7","map00061","R10700"
"7","map00061","R10707"
"7","map00061","R10714"
"8","map00062","R00385"
"8","map00062","R00391"
"8","map00062","R01177"
"8","map00062","R01274"
"8","map00062","R01278"
"8","map00062","R01778"
"8","map00062","R02685"
"8","map00062","R03776"
"8","map00062","R03778"
"8","map00062","R03856"
"8","map00062","R03858"
"8","map00062","R03989"
"8","map00062","R03991"
"8","map00062","R04170"
"8","map00062","R04737"
"8","map00062","R04738"
"8","map00062","R04739"
"8","map00062","R04740"
"8","map00062","R04741"
"8","map00062","R04742"
"8","map00062","R04743"
"8","map00062","R04744"
"8","map00062","R04745"
"8","map00062","R04746"
"8","map00062","R04747"
"8","map00062","R04748"
"8","map00062","R04749"
"8","map00062","R04753"
"8","map00062","R06985"
"8","map00062","R07162"
"8","map00062","R09450"
"8","map00062","R10825"
"8","map00062","R10826"
"8","map00062","R10827"
"8","map00062","R10828"
"9","map00071","R00238"
"9","map00071","R00623"
"9","map00071","R00631"
"9","map00071","R00638"
"9","map00071","R00639"
"9","map00071","R01175"
"9","map00071","R01177"
"9","map00071","R01279"
"9","map00071","R01280"
"9","map00071","R01347"
"9","map00071","R01348"
"9","map00071","R01406"
"9","map00071","R01704"
"9","map00071","R01923"
"9","map00071","R01975"
"9","map00071","R02000"
"9","map00071","R02002"
"9","map00071","R02281"
"9","map00071","R02402"
"9","map00071","R02462"
"9","map00071","R02487"
"9","map00071","R03026"
"9","map00071","R03276"
"9","map00071","R03777"
"9","map00071","R03778"
"9","map00071","R03857"
"9","map00071","R03858"
"9","map00071","R03990"
"9","map00071","R03991"
"9","map00071","R04121"
"9","map00071","R04170"
"9","map00071","R04737"
"9","map00071","R04738"
"9","map00071","R04739"
"9","map00071","R04740"
"9","map00071","R04741"
"9","map00071","R04742"
"9","map00071","R04743"
"9","map00071","R04744"
"9","map00071","R04745"
"9","map00071","R04746"
"9","map00071","R04747"
"9","map00071","R04748"
"9","map00071","R04749"
"9","map00071","R04751"
"9","map00071","R04754"
"9","map00071","R04756"
"10","map00072","R00238"
"10","map00072","R00410"
"10","map00072","R01360"
"10","map00072","R01361"
"10","map00072","R01366"
"10","map00072","R01978"
"11","map00073","R01999"
"11","map00073","R02042"
"11","map00073","R02620"
"11","map00073","R09106"
"11","map00073","R09448"
"11","map00073","R09451"
"11","map00073","R09452"
"11","map00073","R09453"
"11","map00073","R09454"
"11","map00073","R09455"
"11","map00073","R09456"
"11","map00073","R09457"
"11","map00073","R09458"
"11","map00073","R09459"
"11","map00073","R09460"
"11","map00073","R09461"
"11","map00073","R09462"
"11","map00073","R09463"
"11","map00073","R09464"
"11","map00073","R09465"
"11","map00073","R09466"
"11","map00073","R09467"
"11","map00073","R09468"
"11","map00073","R09469"
"11","map00073","R09470"
"11","map00073","R09474"
"12","map00100","R00702"
"12","map00100","R01451"
"12","map00100","R01456"
"12","map00100","R01457"
"12","map00100","R01461"
"12","map00100","R01462"
"12","map00100","R02116"
"12","map00100","R02692"
"12","map00100","R02872"
"12","map00100","R02874"
"12","map00100","R03199"
"12","map00100","R03200"
"12","map00100","R03310"
"12","map00100","R03311"
"12","map00100","R03353"
"12","map00100","R03610"
"12","map00100","R03611"
"12","map00100","R03677"
"12","map00100","R03689"
"12","map00100","R03724"
"12","map00100","R03775"
"12","map00100","R04427"
"12","map00100","R04667"
"12","map00100","R04804"
"12","map00100","R05639"
"12","map00100","R05640"
"12","map00100","R05641"
"12","map00100","R05703"
"12","map00100","R05731"
"12","map00100","R05776"
"12","map00100","R07215"
"12","map00100","R07481"
"12","map00100","R07482"
"12","map00100","R07483"
"12","map00100","R07484"
"12","map00100","R07485"
"12","map00100","R07486"
"12","map00100","R07487"
"12","map00100","R07488"
"12","map00100","R07489"
"12","map00100","R07490"
"12","map00100","R07491"
"12","map00100","R07492"
"12","map00100","R07493"
"12","map00100","R07494"
"12","map00100","R07495"
"12","map00100","R07496"
"12","map00100","R07497"
"12","map00100","R07498"
"12","map00100","R07499"
"12","map00100","R07505"
"12","map00100","R07506"
"12","map00100","R07507"
"12","map00100","R07509"
"12","map00100","R09515"
"12","map00100","R09516"
"13","map00120","R01463"
"13","map00120","R02794"
"13","map00120","R02797"
"13","map00120","R03718"
"13","map00120","R03719"
"13","map00120","R03720"
"13","map00120","R03974"
"13","map00120","R03975"
"13","map00120","R03977"
"13","map00120","R04263"
"13","map00120","R04806"
"13","map00120","R04807"
"13","map00120","R04808"
"13","map00120","R04809"
"13","map00120","R04810"
"13","map00120","R04811"
"13","map00120","R04812"
"13","map00120","R04813"
"13","map00120","R04817"
"13","map00120","R04818"
"13","map00120","R04819"
"13","map00120","R04823"
"13","map00120","R04824"
"13","map00120","R04825"
"13","map00120","R04826"
"13","map00120","R05835"
"13","map00120","R07207"
"13","map00120","R07208"
"13","map00120","R07209"
"13","map00120","R07218"
"13","map00120","R07296"
"13","map00120","R07372"
"13","map00120","R08505"
"13","map00120","R08721"
"13","map00120","R08723"
"13","map00120","R08724"
"13","map00120","R08725"
"13","map00120","R08726"
"13","map00120","R08727"
"13","map00120","R08728"
"13","map00120","R08733"
"13","map00120","R08734"
"13","map00120","R08735"
"13","map00120","R08738"
"13","map00120","R08739"
"13","map00120","R08740"
"13","map00120","R08743"
"13","map00120","R08744"
"13","map00120","R08745"
"13","map00120","R08758"
"13","map00120","R08759"
"13","map00120","R08760"
"13","map00120","R08761"
"15","map00130","R00734"
"15","map00130","R01301"
"15","map00130","R01302"
"15","map00130","R01304"
"15","map00130","R01616"
"15","map00130","R01717"
"15","map00130","R02175"
"15","map00130","R02253"
"15","map00130","R02521"
"15","map00130","R02964"
"15","map00130","R03336"
"15","map00130","R03511"
"15","map00130","R03816"
